V1,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
276,US,"A huge, kick butt Zinfandel, packed with sweet berry, bacon, black pepper and smoky cedar flavors. There's absolutely nothing shy about it. Packs a real punch all the way through to the spicy finish. Good price for a Sonoma Zin this classic.",Old Vines,89,20,California,Sonoma County,Sonoma,"","",St. Francis 2009 Old Vines Zinfandel (Sonoma County),Zinfandel,St. Francis
277,US,"Quite a good Cabernet, showing the elegance and ripe fruitiness you expect from Napa, in a style for drinking now. Drily tannic, it shows classic blackberry and blueberry flavors.","",89,30,California,Napa Valley,Napa,"","",Trailhead 2010 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Trailhead
278,US,"Fruity, forward and quite refreshing, this has appealing black cherry fruit with a light candy flavor. The balancing tannins add sufficient depth and weight to allow this a few more years in the cellar.",Bishop Creek,89,50,Oregon,Willamette Valley,"",Paul Gregutt,@paulgwine ,Erath 2009 Bishop Creek Pinot Noir,Pinot Noir,Erath
279,Italy,"This oak-fermented Sauvignon (in an artsy, screwcap bottle) delivers a rich, spicy finish and thick layers of peach, citrus, tomato leaf and honey-like aromas. It's a gorgeous wine that is an absolute pleasure to drink.","",89,52,Northeastern Italy,Alto Adige,"","","",Franz Haas 2009 Sauvignon (Alto Adige),Sauvignon,Franz Haas
280,Austria,"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.",Schiefer Reserve,92,24,Kremstal,"","",Roger Voss,@vossroger,Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Forstreiter
281,US,"This is another fine Pinot from Cambria, showing the winery's great price-quality ratio. Words like opulent and elegant come to mind to describe intense flavors of black cherries, licorice, cola, herb tea and Indian spices. It's bone dry, and also quite tannic, but you can enjoy it now with big, rich lamb and beef dishes, or a wild mushroom risotto. Otherwise, it will continue to improve for at least eight years.",Bench Break Vineyard,92,34,California,Santa Maria Valley,Central Coast,"","",Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Cambria
282,Italy,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.",Dulcamara,92,41,Tuscany,Toscana,"",Kerin O’Keefe,@kerinokeefe,I Giusti e Zanza 2009 Dulcamara Red (Toscana),Red Blend,I Giusti e Zanza
283,US,"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.",Bella Vida Vineyard Unfiltered,92,52,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher
284,Argentina,"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.",Marchiori Vineyard Block C2,92,215,Mendoza Province,Perdriel,"",Michael Schachner,@wineschach,Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel),Malbec,Viña Cobos
285,Austria,"This is a very aromatic wine that's rich, spicy and with just a touch of ripeness. It has spiced pear, lychee and honey notes all balanced by a wonderful fresh acidity. Drink now and until 2020. Screwcap.",Steiner Kögl Erste Lage,92,,Kremstal,"","",Roger Voss,@vossroger,Salomon-Undhof 2011 Steiner Kögl Erste Lage Riesling (Kremstal),Riesling,Salomon-Undhof
286,US,"While delicious now with flavors of raspberries, cherries, cola and oak, all showered with tart, citrusy acidity, this wine also has a great future. Give it 6–8 years to evolve in the bottle for further complexity.",Rincon Vineyard,92,60,California,Arroyo Grande Valley,Central Coast,"","",Talley 2011 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley
287,Spain,"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.",Braó Vinyes Velles,92,40,Catalonia,Montsant,"",Michael Schachner,@wineschach,Acústic 2010 Braó Vinyes Velles Carignan-Grenache (Montsant),Carignan-Grenache,Acústic
288,Austria,"While it feels rich and round, this is also a wine with a crisp side to it. Acidity cuts through ripe pear, apricot and lychee flavors, giving a decidedly crisp balance. It's a wine that is already ready to drink. Screwcap.",Kremser Gebling Erste Lage,92,,Kremstal,"","",Roger Voss,@vossroger,Josef Schmid 2011 Kremser Gebling Erste Lage Grüner Veltliner (Kremstal),Grüner Veltliner,Josef Schmid
289,US,"This 100% Cabernet Sauvignon is so rich and decadent, with milk chocolate, blackberry and new French oak flavors. Made by celebrity winemaker Philippe Melka, it's soft and approacheable on the palate and widely appealing. Your best bet is to drink up now.",Fortune Teller,92,125,California,Napa Valley,Napa,"","",Parallel 2010 Fortune Teller Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Parallel
290,France,"This is a wine that has great potential—you can tell from the firm tannins, tight acidity and closed texture. Initially, black currant flavors are touched with dark, dusty notes, but they finish with more juicy character on the afterntaste. Drink from 2017.","",92,,Bordeaux,Saint-Estèphe,"",Roger Voss,@vossroger,Château Lafon-Rochet 2011  Saint-Estèphe,Bordeaux-style Red Blend,Château Lafon-Rochet
291,Italy,"This powerful Sagrantino opens with aromas of meat juice, truffle and black fruit. The palate offers blackberry, black cherry, cinnamon and black pepper, along with tobacco notes. It also has Sagrantino's trademark tannic backbone, but the tannins are ripe and are balanced by bright acidity.","",92,,Central Italy,Sagrantino di Montefalco,"",Kerin O’Keefe,@kerinokeefe,Dionigi 2006  Sagrantino di Montefalco,Sagrantino,Dionigi
292,France,"Rich almonds, ripe peaches and a smoky, oxidized character all come together in this ripe, complex, fascinating wine. There is a great tang of apple acidity on the finish. Drink now.",Vin Jaune,92,45,France Other,Arbois,"",Roger Voss,@vossroger,Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois),Savagnin,Domaine Daniel Dugois
293,Australia,"This wine displays ample concentration in its inky color and potent aromas of dark berry fruit. There's a hint of raisining as well. In the mouth, it's mouthfilling but lacks a bit of texture; the flavors include dark plums, vanilla and hints of dried fruits, like figs and dates. With a finish that calls to mind chocolate fudge (minus the sugar), opt for drinking this wine over the relatively near term, now to 2020.",Green's Vineyard,92,70,South Australia,Barossa Valley,"",Joe Czerwinski,@JoeCz,Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley),Shiraz,Kilikanoon
294,Argentina,"Deep, lush aromas of black fruits, graphite and coconut are welcoming and friendly. The mouthfeel is pure and smooth, with elegance and power. Flavors of cassis, blackberry, hard spices and licorice filter into a long, mellow, classy finish. This is a pushy, full-bodied wine that doesn't throw punches; drink through 2020.",Synthesis,92,30,Mendoza Province,Tupungato,"",Michael Schachner,@wineschach,Finca Sophenia 2011 Synthesis Malbec (Tupungato),Malbec,Finca Sophenia
295,US,"This blend showcases the soft lusciousness and ripe fruit of Paso Robles. It's rich and sweet in jammy blackberries, cherries, chocolate and spicy sandalwood. Drink now.",Treana Red,87,35,California,Paso Robles,Central Coast,"","",Treana 2008 Treana Red Cabernet Sauvignon-Syrah (Paso Robles),Cabernet Sauvignon-Syrah,Treana
296,Chile,"Rooty and leafy on the nose, with red berry aromas peeking through some obvious oak. The palate offers cherry and raspberry flavors along with sweetness, and things are backed by vanilla and chocolate. Good, tasty and oaky, with proper layering.",Grey [Glacier] Single Block Trinidad Vineyard,87,20,Maipo Valley,"","",Michael Schachner,@wineschach,Ventisquero 2008 Grey [Glacier] Single Block Trinidad Vineyard Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Ventisquero
297,US,"This is a soft, gentle Cabernet for drinking now. It's pleasantly rich, offering blackberry, cherry, chocolate and cedar flavors, wrapped into easy tannins.","",87,15,California,Napa Valley,Napa,"","",Aquinas 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Aquinas
298,Chile,"Foresty and dark on the bouquet, with aromas of licorice, prune, forest and foxiness. The palate is full and tannic, while flavors run sweet, creamy and slightly syrupy, with chocolate and spiced fig notes. Finishes rich and rough, with dry herbs and true Chilean Cab flavors of olive and oregano.","",87,19,Aconcagua Valley,"","",Michael Schachner,@wineschach,Arboleda 2009 Cabernet Sauvignon (Aconcagua Valley),Cabernet Sauvignon,Arboleda
299,Italy,"Pinay is a tight and defined red blend from northern Italy with bright accents of cherry cola, forest berry, licorice and dark mineral. There's a sharp, sour note on the close that would pair with smoked cheese.",Pinay,87,,Piedmont,Langhe,"","","",Attilio Ghisolfi 2007 Pinay Red (Langhe),Red Blend,Attilio Ghisolfi
300,US,"Soft, light in body and easy to drink, this Sangiovese, from the Napa estate vineyard, is delicious in raspberry, red currant, licorice, bacon and spice flavors. It's somewhat ephemeral, an instantly pleasant wine to drink especially with cured meats, olives, hard cheeses.",Estate,87,28,California,Napa Valley,Napa,"","",Benessere 2007 Estate Sangiovese (Napa Valley),Sangiovese,Benessere
301,US,"A good, clean, tart and lightly spicy all-stainless style. Cool climate fruit puts the accent on lime and lemon flavors, keeps the alcohol low (13.3%), and makes this a fine match to shellfish, white fish and light pasta dishes.",Whiteline No Oak,87,14,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Chardonnay,Buried Cane
302,Italy,"This fresh Nebbiolo-based Roero from Cantina dei Nebbiolo offers pretty intensity with aromas of tar, licorice and a touch of sweet cherry liqueur. There isn't much pulp or meat here but the finish is both crisp and tart.","",87,,Piedmont,Roero,"","","",Cantina del Nebbiolo 2008  Roero,Nebbiolo,Cantina del Nebbiolo
303,Italy,"Slightly disjointed at first, this Barolo with fruit sourced from four vineyard sites, needs a few minutes to open in the glass. The wine offers tertiary aromas of cured beef, smoked bacon and white mushroom. Drink now.",4 Vigne,87,56,Piedmont,Barolo,"","","",Cascina Adelaide 2005 4 Vigne  (Barolo),Nebbiolo,Cascina Adelaide
304,Italy,This aged expression from the Nizza subzone of Asti offers tertiary aromas of dried tobacco and dried prune. The variety's characteristic acidity kicks in on the finish.,Vignassa,87,,Piedmont,Barbera d'Asti Superiore Nizza,"","","",Cascina La Ghersa 2004 Vignassa  (Barbera d'Asti Superiore Nizza),Barbera,Cascina La Ghersa
305,US,"Muted at first, this wine opens up nicely with time. Sweet, ripe and easy on the finish, its core is full of black pepper and clove. The grapes are sourced from several distinctive vineyards in Mendocino County. Drink it with a steak.","",87,24,California,Mendocino County,"",Virginie Boone,@vboone,Claudia Springs 2007 Zinfandel (Mendocino County),Zinfandel,Claudia Springs
306,Romania,"Fragrant on the nose with fresh orange, lemon and honeysuckle aromas, this full-bodied Chard is deliciously quaffable with a concentrated apple palate and just a hint of buttered toast. Another well-made Romanian at an unbeatable bargain price.","",87,7,Recas,"","",Anna Lee C. Iijima,"",Cramele Recas 2009 Chardonnay (Recas),Chardonnay,Cramele Recas
307,France,"Rich and full in the mouth, packed with red fruits and black cherries. The wine is sweet, while keeping a tannic core. Drink next year.",Les Dames Huguettes,87,30,Burgundy,Côte de Nuits-Villages,"",Roger Voss,@vossroger,Domaine Bertagna 2009 Les Dames Huguettes  (Côte de Nuits-Villages),Pinot Noir,Domaine Bertagna
308,Greece,"This fuller-bodied white blend offers pineapple, kiwi and citrus on the nose, and a blend of full fruit and acidity on the palate. A balanced, easygoing white that is perfect for everyday poultry, vegetable and fish meals.",Asirtiko Athiri,87,18,Santorini,"","",Susan Kostrzewa,@suskostrzewa,Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),White Blend,Domaine Sigalas
309,Italy,Here's a fun and slightly less formal expression of Nebbiolo (especially when compared to the great wines of Barbaresco and Barolo) that offers tight fruit nuances of white cherry and forest berry backed by light shadings of spice and smoke.,"",87,20,Piedmont,Langhe,"","","",Socré 2006 Nebbiolo (Langhe),Nebbiolo,Socré
310,Italy,"Aged 12 months in large oak casks, this bright Nebbiolo offers pretty aromas of small berry, tar, licorice and cigar smoke backed by tight intensity and structure. Pair this powerful wine with braised quail or pork tenderloin.","",87,18,Piedmont,Langhe,"","","",Boffa 2006 Nebbiolo (Langhe),Nebbiolo,Boffa
311,New Zealand,"This wine is light in color, but still packs a mouthful of flavor. It's peppery and meaty upfront, filled out on the midpalate by tart fruit that verges on cranberry in flavor. Pretty rather than potent; drink now-2014.","",87,18,Hawke's Bay,"","",Joe Czerwinski,@JoeCz,Otto's Constant Dream 2008 Syrah (Hawke's Bay),Syrah,Otto's Constant Dream
312,US,"A good wine to drink now for its sweet, ripe berry and mocha flavors and smoky coat of oak. It has smooth tannins and a spicy finish. Give it a good decant to let it breathe for a few hours.","",87,40,California,Napa Valley,Napa,"","",Mount Veeder 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Mount Veeder
313,Italy,"Roero Rabino is accented by sweet touches of cinnamon and nutmeg that are offset by cassis, dried blueberry, leather and tobacco. This sturdy red wine presents a very nice ensemble that is capped by a tight, astringent close.","",87,,Piedmont,Roero,"","","",Rabino 2008  Roero,Nebbiolo,Rabino
314,US,"With rich, sweet blackberry and cocoa flavors, this is a very nice Cabernet for drinking with a good meal. It's a little rough around the edges, with jaggy tannins. Ready now.","",87,28,California,Napa Valley,Napa,"","",Robert Mondavi 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Robert Mondavi
315,Italy,"Honey, almond blossom and citrus zest are followed by creamy foam and tonic acidity. This is an easygoing Prosecco that offers a light and compact structure and bright flavors of lime and green fruit.",Extra Dry,86,15,Veneto,Prosecco di Valdobbiadene,"","","",Bellussi NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Bellussi
316,France,"An intriguing blend of Sauvignon Blanc and Muscadelle, which highlights the herbaceous Sauvignon character and a more perfumed Muscadelle. The two give a fresh, citrus- and pineapple-flavored wine, lively, to be enjoyed young.",Les Amants Mont-Pérat,86,,Bordeaux,Bordeaux Blanc,"",Roger Voss,@vossroger,Château Mont-Pérat 2008 Les Amants Mont-Pérat  (Bordeaux Blanc),Bordeaux-style White Blend,Château Mont-Pérat
317,France,"Soft, ripe, dominated by peaches, pears and a rounded, toasty character. The spice is dominant, giving the wine an exotic edge. The more rounded style gives concentration as well as a fine, finishing velvet texture.","",86,,Bordeaux,Bordeaux Blanc,"",Roger Voss,@vossroger,Château Tour de Mirambeau 2006  Bordeaux Blanc,Bordeaux-style White Blend,Château Tour de Mirambeau
318,Chile,"Fiery and wild at first, with aromas of cinnamon, pepper and Juicy Fruit gum. Strange as that may sound, the wine finds a more familiar place on the palate, where plum, cherry and cassis flavors are flashy and the feel is a bit clangy. Rounds out with air and settles down fairly nicely.",Reserva,86,18,Curicó Valley,"","",Michael Schachner,@wineschach,Aresti 2007 Reserva Merlot (Curicó Valley),Merlot,Aresti
319,Italy,"Paladin produces a luminous and fresh Prosecco from the northeast of Italy with tonic aromas of peach, white stone and citrus fruit. It's an easy-drinking wine that would wash down well with appetizers and informal finger foods.",Millesimato Brut,86,20,Veneto,Veneto,"","","",Paladin 2007 Millesimato Brut Prosecco (Veneto),Prosecco,Paladin
320,Italy,Soapy aromas of bee's wax and lavender open the nose of this luminous sparkler and are followed by dried flowers and hay. There are peach-like flavors with aftertastes of green melon and lime. Grapes are grown organically and according to biodynamic principles.,Col di Manza Extra Dry Millesimato,86,22,Veneto,Prosecco di Valdobbiadene,"","","",Perlage 2008 Col di Manza Extra Dry Millesimato  (Prosecco di Valdobbiadene),Prosecco,Perlage
321,Italy,This Brut interpretation of Prosecco (“Brut” means it tastes dry in the mouth) offers tangy fizz and soda-like intensity backed by subdued aromas of white mineral and stone fruit. Pair it with puff pastry appetizers.,Brut,86,16,Veneto,Prosecco di Valdobbiadene,"","","",Sant Eurosia 2007 Brut  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia
322,Italy,"This is a “dry” vintage Prosecco with a hint of sweetness in the mouth that is surrounded by fragrant flavors of peach, kiwi and green melon. This luminous sparkler tastes firm and tonic and makes for an informal afternoon sipper.",Millesimato Dry,86,18,Veneto,Prosecco di Valdobbiadene,"","","",Sant Eurosia 2007 Millesimato Dry  (Prosecco di Valdobbiadene),Prosecco,Sant Eurosia
323,Chile,"Mildly minty and woody on the nose, with grass, wintergreen and cheese aromas as well as red fruit. The palate is tight and grabby, with a blast of citric acid that gives the plum and raspberry flavors a tart, decidedly “red” personality. Snappy and crisp on the finish, making it a fresh, lean style of Cabernet.",Gran Araucano,86,35,Colchagua Valley,"","",Michael Schachner,@wineschach,J. & F. Lurton 2006 Gran Araucano Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,J. & F. Lurton
324,Italy,The wine's golden hue tells you this is Prosecco from a warmer climate (Conegliano is a few degrees warmer than Valdobbiadene) as do its aromas of mature peach and honeysuckle. The wine tastes flat and big in the mouth and offers sophisticated notes of white pepper and spice.,Matiú Brut,86,12,Veneto,Prosecco di Conegliano,"","","",L'Antica Quercia 2007 Matiú Brut  (Prosecco di Conegliano),Prosecco,L'Antica Quercia
325,US,"This white has a light, delicate nose of citrus and apricot. On the palate it's smooth and balanced with lush apricot and spice flavors. A touch of acidity gives the wine lift. A lingering finish adds to its poise. Pair with a creamy cheese or sip alone.","",86,11,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Lucas Vineyards 2007 Vignoles (Finger Lakes),Vignoles,Lucas Vineyards
326,Italy,Drying mineral tones face off with luscious peach flavors to create a well-balanced Extra Dry Prosecco sparkler. The bubbly offers cheerful foaming in the mouth and sweet fruit flavors on the close.,Extra Dry,86,15,Veneto,Prosecco di Valdobbiadene,"","","",Marsuret NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Marsuret
327,Chile,"Opening aromas of vanilla cookie show a resemblance to Animal Crackers, while the palate is more vivacious and tangy, with flavors of orange, tangerine and apple. We wouldn't call this an elegant or refined wine, but we like its no-issues attitude and citrusy content. Probably good with salads and seafood.",Legado Reserva,86,18,Limarí Valley,"","",Michael Schachner,@wineschach,De Martino 2007 Legado Reserva Chardonnay (Limarí Valley),Chardonnay,De Martino
328,US,"This New World blend of Sauvignon Blanc, Sémillon, Chardonnay and Viognier is very fruity. It offers a blast of pineapples, honeysuckles, peaches and figs, with a coating of oaky, vanilla buttercream.",Alluvium Blanc,86,16,California,Knights Valley,Sonoma,"","",Beringer 2007 Alluvium Blanc White (Knights Valley),White Blend,Beringer
329,US,"With a fruity-sugary finish, this Zin will appeal to folks who like their red wines a little on the sweet side. It has pleasantly ripe flavors of black cherries, raspberries, red currants, root beer, mocha and pepper.",Reserve,86,34,California,Mendocino,"","","",Brutocao 2006 Reserve Zinfandel (Mendocino),Zinfandel,Brutocao
330,US,"This Rhône-style blend is a little rustic and sharp in tannins and acids. It shows a polished core of jammy blackberries, cherries and spices, and could develop in a year or two.",Lila's Cuvée,86,40,California,Central Coast,Central Coast,"","",Clos La Chance 2006 Lila's Cuvée Red (Central Coast),Red Blend,Clos La Chance
331,Chile,"Frosted aromas of orange creamsicle, lychee and melon give this an elevated, unique sort of bouquet. Among Chilean Gewürztraminers, this is one of the more expressive ones you'll find. Pineapple, mango and other tropical flavors are pleasant, while the feel is forward and fun. Drink this summer with fish and salads.",Visión,86,15,Casablanca Valley,"","",Michael Schachner,@wineschach,Cono Sur 2008 Visión Gewürztraminer (Casablanca Valley),Gewürztraminer,Cono Sur
332,Italy,"This Prosecco Brut from the slightly warmer Conegliano subzone is a perfect example of its kind. The luminous sparkler offers drying mineral tones that are embellished by pretty notes of white rose, honey, stone fruit and citrus. The mouthfeel is lean, smooth and fresh.",Palazzo Rosso Brut,86,19,Veneto,Prosecco di Conegliano,"","","",Sommariva NV Palazzo Rosso Brut  (Prosecco di Conegliano),Prosecco,Sommariva
333,Italy,This crisp sparkler is characterized by drying mineral tones and delicate aromas of stone fruit and citrus. The wine is foamy and slightly sweet in the mouth and does an excellent job of representing this category of Italian wine.,Col del Sas Extra Dry,86,18,Veneto,Prosecco di Valdobbiadene,"","","",Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol
334,France,"A ripe, fruity wine that takes its raspberry flavor from the color. The wine has softness, a creamy character that rounds out any acidity, leaving a smooth, fruity finish.",Mosaïque Rosé Brut,86,42,Champagne,Champagne,"",Roger Voss,@vossroger,Jacquart NV Mosaïque Rosé Brut  (Champagne),Champagne Blend,Jacquart
335,Italy,"There's a unique note here of mature fruit, chopped basil or peppermint with a hint of spice or chopped white peppercorn. The bubbling seems less frothy and the wine has a flat, big feel in the mouth. Grapes were farmed organically and the wine is from the 2007 vintage, which may explain its distinctive style.",Arió Extra Dry,86,15,Veneto,Prosecco di Conegliano,"","","",L'Antica Quercia 2007 Arió Extra Dry  (Prosecco di Conegliano),Prosecco,L'Antica Quercia
336,Chile,"Gritty, heavily roasted aromas of peanuts and herbal berry fruits lead to a scratchy, tannic palate. This tastes of burnt oak, raw plum and currant, while the finish tastes briny and harsh. The 2012 version of this wine was much better. This is rough from front to back.",Costa,83,35,Colchagua Costa,"","",Michael Schachner,@wineschach,Koyle 2015 Costa Pinot Noir (Colchagua Costa),Pinot Noir,Koyle
337,France,"An easy and inviting selection, there's a mentholated streak to the soft red currant and cherry core of this wine. Light and breezy on the palate, it offers thin, quickly dissipating flavors and a fleeting finish.","",83,16,Languedoc-Roussillon,Languedoc,"",Lauren Buzzeo,@laurbuzz,Château Notre Dame du Quatourze 2015 Rosé (Languedoc),Rosé,Château Notre Dame du Quatourze
338,France,The wine is earthy and somewhat rustic. There is fruit but it is spoiled by a spicy pepper edge. Chill this drastically.,"",82,11,Provence,Coteaux Varois en Provence,"",Roger Voss,@vossroger,Mémoires 2015 Rosé (Coteaux Varois en Provence),Rosé,Mémoires
339,Spain,"Red in color, with berry and apple aromas, this is sweet, with a heavy body and light effervescence.",1887 Rosado,82,13,Catalonia,Cava,"",Michael Schachner,@wineschach,Cavas Hill NV 1887 Rosado Sparkling (Cava),Sparkling Blend,Cavas Hill
340,France,"The nose is muted, despite the slight spritz of the wine, while the palate is equally toned down. It's a rounded if not very expressive white wine.",Tradition,82,18,Alsace,Alsace,"",Anne Krebiehl MW,@AnneInVino,Antoine Moltès & Fils 2015 Tradition Pinot Gris (Alsace),Pinot Gris,Antoine Moltès & Fils
341,US,"Plummy and hinting at black cherry, this wine is otherwise soft and simple, with a distracting, full-throttled descent into raisin cake and prune.",Serracino Reserve,82,48,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Pezzi King 2013 Serracino Reserve Zinfandel (Dry Creek Valley),Zinfandel,Pezzi King
342,Spain,"Funky, yeasty aromas of cinnamon, spent lees and bread yeast dominate the nose. This feels foamy, with lightly vegetal flavors of apple that finish briny.","",82,11,Catalonia,Cava,"",Michael Schachner,@wineschach,Bellisco NV Sparkling (Cava),Sparkling Blend,Bellisco
343,Chile,"Jumpy on the nose at first, but then green tea and grassy aromas take over. This PN is what it is: it tastes grassy, leafy and like green beans. Vegetal notes carry over to the finish.",Grand Reserve,81,20,Rapel Valley,"","",Michael Schachner,@wineschach,Pura 8 2010 Grand Reserve Pinot Noir (Rapel Valley),Pinot Noir,Pura 8
344,Chile,"Aromas of pumpkin, squash and corn chips are stale and not inviting. There's an acceptable mouthfeel to this weird, unbalanced Chardonnay along with flavors of spiced squash, mealy apple and sautéed root vegetables.",Gran Reserva,80,19,Leyda Valley,"","",Michael Schachner,@wineschach,Viña Tarapacá 2015 Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Viña Tarapacá
345,Australia,"This wine contains some material over 100 years old, but shows no signs of fragility. Instead, it's concentrated through age and should hold in the bottle indefinitely. It's dark coffee-brown in color, with delectable aromas of rancio, dried fig, molasses and black tea, yet despite enormous concentration avoids excessive weight. And it's amazingly complex and fresh on the nearly endless finish.",Rare,100,350,Victoria,Rutherglen,"",Joe Czerwinski,@JoeCz,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
346,Australia,"This deep brown wine smells like a damp, mossy cave. Then add complex rancio notes, plus maple syrup and molasses. It's full, round and harmonious, wonderfully rich yet without any sense of heaviness and long and bright on the finish.",Rare,98,350,Victoria,Rutherglen,"",Joe Czerwinski,@JoeCz,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,Chambers Rosewood Vineyards
347,Germany,"Dusty, saffron-spiced earthiness is juxtaposed against intense mango and tangerine fruitiness in this deeply complex wine. It's unctuously sweet, but balanced by a piercing streak of acidity that penetrates through the midpalate. Spry and silken, it finishes on a long lingering whisper of honey and peach.",Kiedrich Gräfenberg Trockenbeerenauslese,97,775,Rheingau,"","",Anna Lee C. Iijima,"",Robert Weil 2014 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil
348,Australia,"Deep mahogany. Dried fig and black tea on the nose, then concentrated mocha and molasses flavors, enlivened by candied orange zest. Full, rich and sweet, but surprisingly drinkable, with terrific intensity and length.",Grand,97,100,Victoria,Rutherglen,"",Joe Czerwinski,@JoeCz,Chambers Rosewood Vineyards NV Grand Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
349,Australia,"RunRig is always complex, and the 2012 doesn't disappoint in that regard, mixing bacony-meaty notes with hints of black olives and ripe plums. The tannins are supremely supple, but the acids are crisp, resulting in a long, mouthwatering finish. Drink now–2030.",RunRig,97,225,South Australia,Barossa,"",Joe Czerwinski,@JoeCz,Torbreck 2012 RunRig Shiraz-Viognier (Barossa),Shiraz-Viognier,Torbreck
350,Italy,"After a few minutes in the glass, this stunning wine opens up to reveal classic Nebbiolo aromas of leather, tilled soil, underbrush, fragrant blue flower and ripe berry. The juicy concentrated palate dishes out layers of succulent black cherry, crushed raspberry, anise and pipe tobacco framed in firm, velvety tannins. Drink 2022–2035.",Vignolo Riserva,97,150,Piedmont,Barolo,"",Kerin O’Keefe,@kerinokeefe,Cavallotto 2010 Vignolo Riserva  (Barolo),Nebbiolo,Cavallotto
351,Hungary,"This amber-colored Hungarian stunner has ethereal aromas of raw honey, beeswax, freshly baked tarte Tatin, canned apricot and fresh pear. It is silky smooth and creamy in the mouth with pronounced flavors of clover honey, pear tart and baked sweet apples. The acidity is perfectly balanced so you can appreciate its velvety richness without feeling that the sweetness is too cloying.",Eszencia,96,320,Tokaji,"","",Jeff Jenssen,@worldwineguys,Oremus 2005 Eszencia  (Tokaji),Furmint,Oremus
352,US,"Citrus-kissed saltiness lies at the core of this incredibly delicious, deliriously crafted wine, from the great grape grower in the heart of the Russian River Valley. Beautifully crisp, it lingers in stony minerality and a freshness of apricot, memorable from first sip to last.",South River,96,68,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2014 South River Chardonnay (Russian River Valley),Chardonnay,Rochioli
353,France,"This beautiful, rich wine has yellow fruits and is concentrated, tightly textured and conveys a ripe character. The touches of wood are just right, adding spice to the opulent fruitiness. A mineral texture gives some tightness to the aftertaste. Drink from 2024.",Le Montrachet,96,630,Burgundy,Montrachet,"",Roger Voss,@vossroger,Louis Latour 2014 Le Montrachet  (Montrachet),Chardonnay,Louis Latour
